round,alpha,seed,selected_clients,cluster_map,global_test_loss,global_test_acc
1,1.0,1,"[4, 18, 2, 8, 3, 7, 12, 14, 13, 10]",{},2.101176419075887,26.31
2,1.0,1,"[12, 6, 3, 15, 0, 14, 13, 18, 19, 9]",{},1.7145273905650826,38.65
3,1.0,1,"[0, 14, 8, 7, 3, 18, 5, 19, 12, 11]",{},1.5422771014985006,44.35
4,1.0,1,"[17, 0, 12, 6, 13, 11, 18, 8, 3, 7]",{},1.4303136054117969,48.34
5,1.0,1,"[15, 17, 7, 11, 18, 10, 3, 12, 19, 4]",{},1.3227269034476796,52.77
6,1.0,1,"[0, 13, 17, 3, 5, 10, 11, 4, 1, 15]","{1: [0, 13, 17, 3, 5, 11, 4, 15], 0: [10, 1]}",1.2971824817596727,52.68
7,1.0,1,"[16, 13, 19, 6, 9, 4, 15, 7, 8, 17]","{0: [16, 19, 6, 9, 4, 17], 1: [13, 15, 7, 8]}",1.2534371868819947,54.59
8,1.0,1,"[18, 1, 15, 7, 12, 6, 10, 2, 5, 8]","{1: [18, 15, 7, 12, 6, 2, 5, 8], 0: [1, 10]}",1.1895549084730208,57.52
9,1.0,1,"[11, 2, 14, 16, 3, 12, 18, 8, 6, 5]","{1: [11, 2, 14, 16, 18, 6, 5], 0: [3, 12, 8]}",1.1888607478445503,56.61
10,1.0,1,"[15, 0, 19, 1, 9, 11, 13, 17, 12, 14]","{1: [15, 0, 19, 1, 9, 11, 13, 12, 14], 0: [17]}",1.1291338679896799,59.96
11,1.0,1,"[12, 5, 18, 16, 7, 0, 19, 3, 8, 11]","{1: [12, 5, 18, 16, 7, 0, 19, 3, 11], 0: [8]}",1.131694849129695,59.65
12,1.0,1,"[7, 12, 16, 11, 17, 19, 4, 10, 8, 9]","{1: [7, 12, 16, 11, 19, 4, 10, 8, 9], 0: [17]}",1.0880225688029246,61.59
13,1.0,1,"[0, 12, 16, 4, 6, 15, 19, 7, 5, 9]","{0: [0, 16, 4, 6, 15, 19, 7, 5, 9], 1: [12]}",1.068173512911341,62.35
14,1.0,1,"[17, 6, 16, 13, 15, 19, 5, 18, 14, 0]","{0: [17], 1: [6, 16, 13, 15, 19, 5, 18, 14, 0]}",1.0492972970768144,62.65
15,1.0,1,"[17, 19, 10, 14, 0, 12, 3, 18, 2, 8]","{0: [17], 1: [19, 10, 14, 0, 12, 3, 18, 2, 8]}",1.0409960344338873,62.7
16,1.0,1,"[18, 5, 2, 8, 1, 13, 10, 15, 12, 0]","{1: [18, 5, 2, 1, 13, 10, 15, 12, 0], 0: [8]}",1.0240109357864233,63.86
17,1.0,1,"[14, 0, 8, 7, 17, 1, 12, 9, 2, 5]","{1: [14, 0, 8, 7, 1, 12, 9, 2, 5], 0: [17]}",1.0060700967812994,64.66
18,1.0,1,"[9, 2, 5, 17, 8, 15, 18, 10, 4, 12]","{1: [9, 2, 5, 8, 15, 18, 10, 4, 12], 0: [17]}",0.9783045360996465,65.93
19,1.0,1,"[9, 14, 10, 15, 16, 1, 0, 4, 6, 5]","{1: [9, 14, 10, 15, 16, 0, 4, 6, 5], 0: [1]}",1.0406389471831594,63.57
20,1.0,1,"[13, 6, 8, 3, 17, 14, 11, 15, 16, 9]","{1: [13, 6, 8, 3, 14, 11, 15, 16, 9], 0: [17]}",0.9904725225108444,64.61
