round,alpha,seed,num_clients,clients_per_round,local_epochs,selected_clients,client_sizes,global_test_loss,global_test_acc
1,0.5,1,20,10,1,"[4, 18, 2, 8, 3, 7, 12, 14, 13, 10]","[681, 2403, 1805, 2644, 2607, 1412, 2053, 3093, 3130, 2153]",2.1298211197944203,18.3
2,0.5,1,20,10,1,"[12, 6, 3, 15, 0, 14, 13, 18, 19, 9]","[2053, 3739, 2607, 3591, 1921, 3093, 3130, 2403, 2386, 1257]",1.8173299853209477,32.18
3,0.5,1,20,10,1,"[0, 14, 8, 7, 3, 18, 5, 19, 12, 11]","[1921, 3093, 2644, 1412, 2607, 2403, 2665, 2386, 2053, 1548]",1.8076936917699826,30.81
4,0.5,1,20,10,1,"[17, 0, 12, 6, 13, 11, 18, 8, 3, 7]","[3442, 1921, 2053, 3739, 3130, 1548, 2403, 2644, 2607, 1412]",1.607963705518443,40.55
5,0.5,1,20,10,1,"[15, 17, 7, 11, 18, 10, 3, 12, 19, 4]","[3591, 3442, 1412, 1548, 2403, 2153, 2607, 2053, 2386, 681]",1.461873797094746,46.3
6,0.5,1,20,10,1,"[0, 13, 17, 3, 5, 10, 11, 4, 1, 15]","[1921, 3130, 3442, 2607, 2665, 2153, 1548, 681, 5905, 3591]",1.3962427203062993,50.44
7,0.5,1,20,10,1,"[16, 13, 19, 6, 9, 4, 15, 7, 8, 17]","[1565, 3130, 2386, 3739, 1257, 681, 3591, 1412, 2644, 3442]",1.4809837159077832,45.22
8,0.5,1,20,10,1,"[18, 1, 15, 7, 12, 6, 10, 2, 5, 8]","[2403, 5905, 3591, 1412, 2053, 3739, 2153, 1805, 2665, 2644]",1.3566291878937156,49.71
9,0.5,1,20,10,1,"[11, 2, 14, 16, 3, 12, 18, 8, 6, 5]","[1548, 1805, 3093, 1565, 2607, 2053, 2403, 2644, 3739, 2665]",1.3253725402674097,52.54
10,0.5,1,20,10,1,"[15, 0, 19, 1, 9, 11, 13, 17, 12, 14]","[3591, 1921, 2386, 5905, 1257, 1548, 3130, 3442, 2053, 3093]",1.252410691255217,53.76
11,0.5,1,20,10,1,"[12, 5, 18, 16, 7, 0, 19, 3, 8, 11]","[2053, 2665, 2403, 1565, 1412, 1921, 2386, 2607, 2644, 1548]",1.3454564999622904,50.34
12,0.5,1,20,10,1,"[7, 12, 16, 11, 17, 19, 4, 10, 8, 9]","[1412, 2053, 1565, 1548, 3442, 2386, 681, 2153, 2644, 1257]",1.2834834338753087,52.01
13,0.5,1,20,10,1,"[0, 12, 16, 4, 6, 15, 19, 7, 5, 9]","[1921, 2053, 1565, 681, 3739, 3591, 2386, 1412, 2665, 1257]",1.2982792729025434,54.43
14,0.5,1,20,10,1,"[17, 6, 16, 13, 15, 19, 5, 18, 14, 0]","[3442, 3739, 1565, 3130, 3591, 2386, 2665, 2403, 3093, 1921]",1.1747993135907848,58.18
15,0.5,1,20,10,1,"[17, 19, 10, 14, 0, 12, 3, 18, 2, 8]","[3442, 2386, 2153, 3093, 1921, 2053, 2607, 2403, 1805, 2644]",1.1430709654358542,58.08
16,0.5,1,20,10,1,"[18, 5, 2, 8, 1, 13, 10, 15, 12, 0]","[2403, 2665, 1805, 2644, 5905, 3130, 2153, 3591, 2053, 1921]",1.1029103128773392,60.19
17,0.5,1,20,10,1,"[14, 0, 8, 7, 17, 1, 12, 9, 2, 5]","[3093, 1921, 2644, 1412, 3442, 5905, 2053, 1257, 1805, 2665]",1.106141120005565,60.3
18,0.5,1,20,10,1,"[9, 2, 5, 17, 8, 15, 18, 10, 4, 12]","[1257, 1805, 2665, 3442, 2644, 3591, 2403, 2153, 681, 2053]",1.0888946022197699,60.86
19,0.5,1,20,10,1,"[9, 14, 10, 15, 16, 1, 0, 4, 6, 5]","[1257, 3093, 2153, 3591, 1565, 5905, 1921, 681, 3739, 2665]",1.1304456458729544,59.0
20,0.5,1,20,10,1,"[13, 6, 8, 3, 17, 14, 11, 15, 16, 9]","[3130, 3739, 2644, 2607, 3442, 3093, 1548, 3591, 1565, 1257]",1.0919491925816627,60.96
