round,alpha,num_clients,clients_per_round,local_epochs,selected_clients,client_sizes,global_test_loss,global_test_acc
1,1.0,20,10,1,"[11, 17, 19, 3, 4, 14, 7, 2, 18, 16]","[3656, 3022, 2507, 2478, 2292, 1715, 2935, 3954, 2470, 3088]",2.0340045698129448,27.05
2,1.0,20,10,1,"[7, 6, 18, 5, 15, 1, 13, 10, 16, 19]","[2935, 1871, 2470, 2445, 1708, 2674, 2929, 2000, 3088, 2507]",1.6902360187214651,38.91
3,1.0,20,10,1,"[4, 2, 14, 10, 18, 17, 19, 3, 5, 13]","[2292, 3954, 1715, 2000, 2470, 3022, 2507, 2478, 2445, 2929]",1.5154513819202495,43.47
4,1.0,20,10,1,"[1, 3, 6, 5, 0, 7, 10, 11, 4, 2]","[2674, 2478, 1871, 2445, 2941, 2935, 2000, 3656, 2292, 3954]",1.4028803125308578,49.92
5,1.0,20,10,1,"[14, 19, 15, 6, 5, 10, 16, 2, 11, 12]","[1715, 2507, 1708, 1871, 2445, 2000, 3088, 3954, 3656, 1677]",1.3758089679061987,51.0
6,1.0,20,10,1,"[1, 2, 19, 18, 6, 5, 11, 7, 8, 12]","[2674, 3954, 2507, 2470, 1871, 2445, 3656, 2935, 1405, 1677]",1.3480016600554157,50.58
7,1.0,20,10,1,"[6, 16, 11, 14, 0, 2, 1, 10, 19, 5]","[1871, 3088, 3656, 1715, 2941, 3954, 2674, 2000, 2507, 2445]",1.2690586459105182,54.67
8,1.0,20,10,1,"[9, 14, 13, 17, 1, 0, 8, 10, 3, 7]","[2233, 1715, 2929, 3022, 2674, 2941, 1405, 2000, 2478, 2935]",1.224916794497496,56.06
9,1.0,20,10,1,"[3, 17, 0, 8, 6, 16, 2, 11, 1, 14]","[2478, 3022, 2941, 1405, 1871, 3088, 3954, 3656, 2674, 1715]",1.2070962027379661,57.02
10,1.0,20,10,1,"[16, 1, 2, 6, 19, 8, 18, 7, 14, 10]","[3088, 2674, 3954, 1871, 2507, 1405, 2470, 2935, 1715, 2000]",1.1689222234829215,57.95
11,1.0,20,10,1,"[17, 0, 16, 13, 12, 9, 15, 18, 3, 7]","[3022, 2941, 3088, 2929, 1677, 2233, 1708, 2470, 2478, 2935]",1.1280739337775358,59.8
12,1.0,20,10,1,"[5, 12, 3, 1, 13, 10, 8, 15, 17, 2]","[2445, 1677, 2478, 2674, 2929, 2000, 1405, 1708, 3022, 3954]",1.0927265609145924,61.53
13,1.0,20,10,1,"[11, 3, 14, 19, 2, 4, 1, 15, 0, 6]","[3656, 2478, 1715, 2507, 3954, 2292, 2674, 1708, 2941, 1871]",1.0924149455538221,60.95
14,1.0,20,10,1,"[2, 0, 13, 15, 9, 19, 14, 11, 16, 12]","[3954, 2941, 2929, 1708, 2233, 2507, 1715, 3656, 3088, 1677]",1.0550849487067788,62.72
15,1.0,20,10,1,"[9, 11, 16, 3, 17, 15, 12, 5, 0, 7]","[2233, 3656, 3088, 2478, 3022, 1708, 1677, 2445, 2941, 2935]",1.0395597694026437,62.91
16,1.0,20,10,1,"[12, 16, 1, 10, 9, 2, 4, 11, 8, 6]","[1677, 3088, 2674, 2000, 2233, 3954, 2292, 3656, 1405, 1871]",1.0391005953406072,63.23
17,1.0,20,10,1,"[3, 16, 11, 12, 15, 2, 18, 14, 7, 19]","[2478, 3088, 3656, 1677, 1708, 3954, 2470, 1715, 2935, 2507]",1.013448464263017,63.85
18,1.0,20,10,1,"[0, 12, 11, 10, 14, 3, 6, 18, 4, 19]","[2941, 1677, 3656, 2000, 1715, 2478, 1871, 2470, 2292, 2507]",1.0279734707941675,63.21
19,1.0,20,10,1,"[3, 11, 14, 9, 4, 15, 12, 19, 7, 16]","[2478, 3656, 1715, 2233, 2292, 1708, 1677, 2507, 2935, 3088]",0.9803298783909743,65.39
20,1.0,20,10,1,"[17, 12, 6, 10, 7, 13, 15, 14, 11, 2]","[3022, 1677, 1871, 2000, 2935, 2929, 1708, 1715, 3656, 3954]",0.9655541466299895,65.98
